,confirm_5,confirm_5,confirm_5,confirm_5,confirm_5,confirm_5,confirm_10,confirm_10,confirm_10,confirm_10,confirm_10,confirm_10,confirm_20,confirm_20,confirm_20,confirm_20,confirm_20,confirm_20,confirm_50,confirm_50,confirm_50,confirm_50,confirm_50,confirm_50,death_5,death_5,death_5,death_5,death_5,death_5,death_10,death_10,death_10,death_10,death_10,death_10,death_20,death_20,death_20,death_20,death_20,death_20,death_50,death_50,death_50,death_50,death_50,death_50
,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem
Rhode Island,51.0,10.2,9.0,67.7,8.23,3.68,84.0,16.8,19.0,90.2,9.5,4.25,388.0,77.6,56.0,2273.3,47.68,21.32,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
South Carolina,167.0,3.63,2.0,19.39,4.4,0.65,458.0,9.96,6.0,140.75,11.86,1.75,1733.0,43.32,21.5,3144.99,56.08,8.87,0.0,,,,,,3.0,0.07,0.0,0.06,0.25,0.04,10.0,0.22,0.0,0.35,0.59,0.09,39.0,0.98,0.0,2.18,1.48,0.23,0.0,,,,,
South Dakota,64.0,1.68,1.0,2.49,1.58,0.26,106.0,3.21,1.0,19.3,4.39,0.76,166.0,8.74,4.0,155.2,12.46,2.86,0.0,,,,,,1.0,0.03,0.0,0.03,0.16,0.03,1.0,0.03,0.0,0.03,0.17,0.03,1.0,0.05,0.0,0.05,0.23,0.05,0.0,,,,,
Tennessee,242.0,2.72,2.0,7.36,2.71,0.29,574.0,6.45,4.0,67.16,8.2,0.87,2134.0,36.79,14.5,4303.75,65.6,8.61,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.04,0.0,0.04,0.21,0.02,35.0,0.6,0.0,4.21,2.05,0.27,0.0,,,,,
Texas,480.0,2.67,2.0,6.98,2.64,0.2,1248.0,7.85,4.0,118.09,10.87,0.86,4561.0,40.72,15.0,5102.33,71.43,6.75,0.0,,,,,,6.0,0.03,0.0,0.03,0.18,0.01,22.0,0.14,0.0,0.12,0.35,0.03,99.0,0.88,0.0,3.26,1.8,0.17,0.0,,,,,
Utah,69.0,3.45,2.0,20.68,4.55,1.02,221.0,11.05,4.0,330.05,18.17,4.06,1027.0,102.7,40.0,15496.23,124.48,39.37,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.05,0.22,0.05,6.0,0.6,0.0,0.71,0.84,0.27,0.0,,,,,
Vermont,44.0,3.14,3.0,3.67,1.92,0.51,105.0,8.75,8.0,33.66,5.8,1.67,397.0,33.08,20.5,1568.08,39.6,11.43,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.17,0.0,0.15,0.39,0.11,11.0,0.92,0.0,1.9,1.38,0.4,0.0,,,,,
Virginia,338.0,2.75,2.0,5.39,2.32,0.21,757.0,6.64,4.0,54.11,7.36,0.69,2190.0,30.0,15.0,1455.14,38.15,4.46,0.0,,,,,,4.0,0.03,0.0,0.03,0.18,0.02,9.0,0.08,0.0,0.11,0.33,0.03,15.0,0.21,0.0,0.25,0.5,0.06,0.0,,,,,
Washington,113.0,2.9,2.0,7.46,2.73,0.44,349.0,9.18,5.0,137.29,11.72,1.9,1827.0,53.74,16.5,5998.99,77.45,13.28,190.0,190.0,190.0,,,,5.0,0.13,0.0,0.27,0.52,0.08,10.0,0.26,0.0,0.74,0.86,0.14,61.0,1.79,0.0,13.62,3.69,0.63,22.0,22.0,22.0,,,
West Virginia,135.0,3.07,2.0,9.65,3.11,0.47,224.0,6.79,4.0,66.23,8.14,1.42,439.0,23.11,10.0,670.32,25.89,5.94,0.0,,,,,,1.0,0.02,0.0,0.02,0.15,0.02,1.0,0.03,0.0,0.03,0.17,0.03,5.0,0.26,0.0,0.2,0.45,0.1,0.0,,,,,
Wisconsin,204.0,3.19,2.0,14.09,3.75,0.47,536.0,8.93,4.0,561.72,23.7,3.06,1709.0,42.72,13.5,15441.95,124.27,19.65,0.0,,,,,,3.0,0.05,0.0,0.05,0.21,0.03,11.0,0.18,0.0,0.29,0.54,0.07,35.0,0.88,0.0,4.88,2.21,0.35,0.0,,,,,
Wyoming,48.0,2.29,1.0,3.61,1.9,0.41,95.0,5.28,4.0,16.09,4.01,0.95,194.0,14.92,9.0,208.24,14.43,4.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.08,0.28,0.08,0.0,,,,,
